f,M_ID,ETA,ServT,ETD,P_Rej,P_Arr,P_Dep,Is_VIP
a63,8,3717.7,157.4,3936.1,5500,30,60,1
a64,4,3723.9,304.0,4093.9,4725,30,60,1
a65,4,3957.5,240.6,4255.1,1135,10,20,0
a66,1,3974.0,358.7,4363.7,1179,10,20,0
a67,7,4104.6,311.5,4485.1,5494,30,60,1
a68,2,4237.7,258.6,4566.3,875,10,20,0
a69,4,4407.2,128.9,4597.1,5396,30,60,1
a70,5,4429.5,396.7,4885.2,987,10,20,0
a71,3,4469.6,396.5,4922.1,882,10,20,0
a72,2,4713.5,283.1,5057.6,1173,10,20,0
a73,7,4771.6,148.4,4988.0,5412,30,60,1
a74,8,4778.5,129.8,4943.3,5500,30,60,1
a75,2,4894.8,243.8,5186.6,1163,10,20,0
a76,8,4981.3,272.7,5284.0,5500,30,60,1
a77,1,4994.5,230.5,5283.0,823,10,20,0
a78,3,5008.7,142.5,5193.2,948,10,20,0
a79,6,5132.0,388.9,5570.9,5339,30,60,1
a80,4,5242.1,346.1,5625.2,5317,30,60,1
a81,1,5244.7,196.5,5481.2,715,10,20,0
a82,4,5302.7,139.0,5473.7,1121,10,20,0
a83,2,5359.4,269.2,5692.6,781,10,20,0
a84,7,5593.6,106.1,5758.7,5481,30,60,1
a85,1,5779.3,102.4,5936.7,4160,30,60,1
a86,1,6080.2,364.7,6489.9,1198,10,20,0
a87,5,6208.2,244.3,6484.5,5252,30,60,1
a88,8,6280.1,118.2,6436.3,5500,30,60,1
a89,4,6385.9,133.5,6562.4,914,10,20,0
a90,3,6477.8,356.0,6857.8,1004,10,20,0
a91,3,6498.2,102.7,6633.9,892,10,20,0
a92,4,6953.6,248.4,7272.0,949,10,20,0
a93,8,7019.6,338.6,7422.2,1200,10,20,0
a94,3,7045.7,127.0,7204.7,875,10,20,0
a95,7,7093.0,291.6,7428.6,1189,10,20,0
a96,3,7131.7,200.7,7377.4,1042,10,20,0
a97,1,7157.4,223.2,7419.6,1161,10,20,0
a98,3,7200.8,148.5,7400.3,1004,10,20,0
a99,1,7229.0,339.1,7609.1,1125,10,20,0
a100,6,7273.4,277.5,7583.9,5142,30,60,1
a101,8,7388.5,141.3,7591.8,5500,30,60,1
a102,3,7414.8,245.7,7685.5,1170,10,20,0
a103,7,7420.5,181.3,7653.8,1149,10,20,0
a104,8,7706.9,130.2,7896.1,5500,30,60,1
a105,3,7727.9,284.9,8054.8,1068,10,20,0
a106,7,7821.7,314.1,8168.8,5429,30,60,1
a107,7,7847.1,385.4,8271.5,5459,30,60,1
a108,1,7993.5,309.2,8328.7,1187,10,20,0
a109,2,8002.0,164.7,8213.7,1135,10,20,0
a110,2,8194.1,140.3,8378.4,1063,10,20,0
a111,3,8198.8,171.7,8431.5,1009,10,20,0
a112,1,8234.1,239.7,8537.8,1075,10,20,0
a113,7,8424.2,222.0,8706.2,5289,30,60,1
a114,3,8777.0,341.9,9150.9,4907,30,60,1
a115,8,8959.3,174.6,9175.9,5500,30,60,1
a116,3,8986.0,283.5,9313.5,1159,10,20,0
a117,7,9002.7,366.8,9439.5,5457,30,60,1
a118,4,9030.4,167.3,9263.7,4807,30,60,1
a119,6,9134.1,186.9,9353.0,5313,30,60,1
a120,1,9429.1,146.2,9613.3,798,10,20,0
a121,3,9555.3,319.9,9941.2,884,10,20,0
a122,2,9706.5,374.4,10139.9,4386,30,60,1
a123,3,9740.0,182.1,9971.1,1181,10,20,0
a124,8,9783.4,300.5,10134.9,5500,30,60,1
a125,4,9859.1,187.4,10103.5,5209,30,60,1
a126,7,9935.3,283.5,10254.8,5412,30,60,1
a127,4,10003.8,257.4,10302.2,1005,10,20,0
a128,6,10007.7,152.0,10220.7,1160,10,20,0
a129,6,10011.8,373.4,10414.2,5463,30,60,1
a130,2,10100.9,350.4,10513.3,917,10,20,0
a131,2,10108.1,138.6,10318.7,855,10,20,0
a132,4,10198.0,389.1,10634.1,1031,10,20,0
a133,5,10522.5,320.1,10907.6,1185,10,20,0
a134,5,10650.6,218.6,10938.2,5030,30,60,1
a135,6,10683.8,327.1,11048.9,1163,10,20,0
a136,6,10832.7,141.3,11001.0,1159,10,20,0
a137,2,10952.3,224.9,11234.2,934,10,20,0
a138,8,10961.1,231.5,11236.6,5500,30,60,1
a139,4,10976.1,373.2,11401.3,998,10,20,0
a140,6,10991.8,154.6,11183.4,1152,10,20,0
a141,7,11037.9,279.4,11387.3,5419,30,60,1
a142,6,11166.1,124.1,11319.2,1089,10,20,0
a143,1,11258.8,398.7,11719.5,1132,10,20,0
a144,8,11337.6,393.5,11786.1,5500,30,60,1
a145,5,11368.2,238.8,11637.0,1025,10,20,0
a146,5,11479.3,209.1,11724.4,5452,30,60,1
a147,1,11502.6,164.7,11730.3,740,10,20,0
a148,1,11534.6,180.5,11769.1,824,10,20,0
a149,3,11567.4,306.2,11922.6,4907,30,60,1
a150,3,11845.1,192.9,12091.0,1183,10,20,0
a151,7,11959.7,265.9,12272.6,5364,30,60,1
a152,5,12008.5,348.3,12416.8,4952,30,60,1
a153,5,12048.2,332.6,12427.8,1098,10,20,0
a154,1,12189.5,152.5,12373.0,913,10,20,0
a155,2,12217.1,283.2,12533.3,4352,30,60,1
a156,6,12287.5,130.2,12480.7,5111,30,60,1
a157,5,12310.6,121.9,12488.5,1143,10,20,0
a158,4,12347.9,308.7,12693.6,4724,30,60,1
a159,4,12426.2,274.4,12765.6,4865,30,60,1
a160,5,12456.8,257.8,12771.6,5455,30,60,1
a161,7,12488.4,153.0,12681.4,5449,30,60,1
a162,1,12693.7,325.7,13077.4,755,10,20,0
